,Book Name,UPC,Product Type,Price(excl.tax),Price(Incl.Tax),Tax,Availability,Number of reviews
0,A Light in the Attic,a897fe39b1053632,Books,£51.77,£51.77,£0.00,In stock (22 available),0
1,Tipping the Velvet,90fa61229261140a,Books,£53.74,£53.74,£0.00,In stock (20 available),0
2,Soumission,6957f44c3847a760,Books,£50.10,£50.10,£0.00,In stock (20 available),0
3,Sharp Objects,e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,In stock (20 available),0
4,Sapiens: A Brief History of Humankind,4165285e1663650f,Books,£54.23,£54.23,£0.00,In stock (20 available),0
5,The Requiem Red,f77dbf2323deb740,Books,£22.65,£22.65,£0.00,In stock (19 available),0
6,The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,In stock (19 available),0
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,Books,£17.93,£17.93,£0.00,In stock (19 available),0
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,Books,£22.60,£22.60,£0.00,In stock (19 available),0
9,The Black Maria,1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,In stock (19 available),0
10,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,Books,£13.99,£13.99,£0.00,In stock (19 available),0
11,Shakespeare's Sonnets,30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,In stock (19 available),0
12,Set Me Free,ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,In stock (19 available),0
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,In stock (19 available),0
14,Rip it Up and Start Again,a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,In stock (19 available),0
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,Books,£57.25,£57.25,£0.00,In stock (19 available),0
16,Olio,feb7cc7701ecf901,Books,£23.88,£23.88,£0.00,In stock (19 available),0
17,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,Books,£37.59,£37.59,£0.00,In stock (19 available),0
18,Libertarianism for Beginners,a18a4f574854aced,Books,£51.33,£51.33,£0.00,In stock (19 available),0
19,It's Only the Himalayas,a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0
20,In Her Wake,23356462d1320d61,Books,£12.84,£12.84,£0.00,In stock (19 available),0
21,How Music Works,327f68a59745c102,Books,£37.32,£37.32,£0.00,In stock (19 available),0
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",5674a18a29a43ced,Books,£30.52,£30.52,£0.00,In stock (19 available),0
23,Chase Me (Paris Nights #2),c2e46a2ee3b4a322,Books,£25.27,£25.27,£0.00,In stock (19 available),0
24,Black Dust,00bfed9e18bb36f3,Books,£34.53,£34.53,£0.00,In stock (19 available),0
25,Birdsong: A Story in Pictures,9528d0948525bf5f,Books,£54.64,£54.64,£0.00,In stock (19 available),0
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,Books,£22.50,£22.50,£0.00,In stock (19 available),0
27,Aladdin and His Wonderful Lamp,904208d6aa64b655,Books,£53.13,£53.13,£0.00,In stock (19 available),0
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,4c28def39d850cdf,Books,£40.30,£40.30,£0.00,In stock (18 available),0
29,Wall and Piece,ccd9ffa25efabdea,Books,£44.18,£44.18,£0.00,In stock (18 available),0
30,The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50,Books,£17.66,£17.66,£0.00,In stock (18 available),0
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,Books,£31.05,£31.05,£0.00,In stock (18 available),0
32,The Elephant Tree,5dada2b7be26bd03,Books,£23.82,£23.82,£0.00,In stock (18 available),0
33,The Bear and the Piano,9f6568e9c95f60b0,Books,£36.89,£36.89,£0.00,In stock (18 available),0
34,Sophie's World,6be3beb0793a53e7,Books,£15.94,£15.94,£0.00,In stock (18 available),0
35,Penny Maybe,668fe56b17cfcd4f,Books,£33.29,£33.29,£0.00,In stock (18 available),0
36,Maude (1883-1993):She Grew Up with the country,094b269567e1c300,Books,£18.02,£18.02,£0.00,In stock (18 available),0
37,"In a Dark, Dark Wood",19ed25f4641d5efd,Books,£19.63,£19.63,£0.00,In stock (18 available),0
38,Behind Closed Doors,be5cc846f45496fb,Books,£52.22,£52.22,£0.00,In stock (18 available),0
39,You can't bury them all: Poems,55f9da0c5eea2e10,Books,£33.63,£33.63,£0.00,In stock (17 available),0
40,Slow States of Collapse: Poems,b4fd5943413e089a,Books,£57.31,£57.31,£0.00,In stock (17 available),0
41,Reasons to Stay Alive,c8f7f0cb1abb9cac,Books,£26.41,£26.41,£0.00,In stock (17 available),0
42,Private Paris (Private #10),b12b89017878a60d,Books,£47.61,£47.61,£0.00,In stock (17 available),0
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,Books,£23.11,£23.11,£0.00,In stock (17 available),0
44,Without Borders (Wanderlove #1),acddfeab2a407640,Books,£45.07,£45.07,£0.00,In stock (16 available),0
45,When We Collided,3ecb690d1542c568,Books,£31.77,£31.77,£0.00,In stock (16 available),0
46,"We Love You, Charlie Freeman",8d455c7539795d2a,Books,£50.27,£50.27,£0.00,In stock (16 available),0
47,Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,Books,£14.27,£14.27,£0.00,In stock (16 available),0
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,Books,£44.18,£44.18,£0.00,In stock (16 available),0
49,Unicorn Tracks,7ae099f3898e0209,Books,£18.78,£18.78,£0.00,In stock (16 available),0
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,Books,£25.52,£25.52,£0.00,In stock (16 available),0
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,Books,£16.28,£16.28,£0.00,In stock (16 available),0
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,Books,£31.12,£31.12,£0.00,In stock (16 available),0
53,This One Summer,51653ef291ab7ddc,Books,£19.49,£19.49,£0.00,In stock (16 available),0
54,Thirst,709822d0b5bcb7f4,Books,£17.27,£17.27,£0.00,In stock (16 available),0
55,The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf,Books,£19.09,£19.09,£0.00,In stock (16 available),0
56,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,Books,£56.13,£56.13,£0.00,In stock (16 available),0
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,Books,£56.41,£56.41,£0.00,In stock (16 available),0
58,The Past Never Ends,5ee94540d0749ea0,Books,£56.50,£56.50,£0.00,In stock (16 available),0
59,The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691,Books,£45.22,£45.22,£0.00,In stock (16 available),0
60,The Nameless City (The Nameless City #1),7d385d34d12e60ff,Books,£38.16,£38.16,£0.00,In stock (16 available),0
61,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,Books,£54.11,£54.11,£0.00,In stock (16 available),0
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,Books,£42.96,£42.96,£0.00,In stock (16 available),0
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,Books,£23.89,£23.89,£0.00,In stock (16 available),0
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,Books,£16.77,£16.77,£0.00,In stock (16 available),0
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,Books,£20.59,£20.59,£0.00,In stock (16 available),0
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,Books,£37.13,£37.13,£0.00,In stock (16 available),0
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,Books,£56.06,£56.06,£0.00,In stock (16 available),0
68,The Death of Humanity: and the Case for Life,bd261725b99f5983,Books,£58.11,£58.11,£0.00,In stock (16 available),0
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,Books,£49.05,£49.05,£0.00,In stock (16 available),0
